VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
TD38HR,"TIME DOING SITTING ACTIVITIES (TV, COMP GAMES, TALKING WITH FRIENDS) AFTER SCH. - HOURS",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD38MIN,"TIME DOING SITTING ACTIVITIES (TV, COMP GAMES, TALKING WITH FRIENDS) AFTER SCH. - MINUTES",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD39HR,"TIME DOING SITTING ACTIVITIES (TV, COMP GAMES, TALKING WITH FRIENDS) WEEKEND - MINUTES",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD39MIN,"TIME DOING SITTING ACTIVITIES (TV, COMP GAMES, TALKING WITH FRIENDS) WEEKEND - HOURS",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE8,# OF DAYS PAST WEEK TEEN PHYSICALLY ACTIVE 60 MIN OR MORE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,NOT TRENDABLE WITH CHIS 2001/2003 TE8;,
TE49,# OF DAYS TYPICAL WEEK TEEN PHYSICALLY ACTIVE 60 MIN OR MORE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,,
TE57,CURRENTLY TAKING PE AT SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,N/A,,
TE58,# DAYS ATTENDS PE PER WEEK,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,,
TD26,# MINS LONG PE CLASS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,,
TE1,# OF GLASSES OF 100% FRUIT JUICE DRANK YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,
TD22,# DAYS PER WEEK BRING LUNCH FROM HOME TO SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,
TE50,TEEN ON SPORTS TEAM IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,,
TE53,"# OF DAYS TEEN WALKED, BIKED, SKATED TO SCHOOL IN ONE WEEK",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,,
TE54,"# OF MINS TO WALK, BIKE, SKATE TO SCHOOL",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,,
TE12,# OF HRS TEEN PLAYS TV/VIDEO GAMES MON-FRI,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,"EXCLUDED VALUES ""93"" & ""94"" IN CALCULATING THE MEAN",
TE13,# OF HRS TEEN USES COMPUTER FOR FUN MON-FRI,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,"EXCLUDED VALUES ""93"" & ""94"" IN CALCULATING THE MEAN",
TD15,# OF SERVINGS OF NON-FRIED WHITE POTATOES YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TD16,# OF SERVINGS OF HIGH SUGAR FOODS YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TC30,# OF TIMES ATE FAST FOOD YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TD17,# OF DAYS ATE BREAKFAST IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TD18,# OF DAYS ATE LUNCH IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TD19,# OF DAYS ATE DINNER W/PARENT(S) AT HOME IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TC29,SCHOOL HAS SODAS IN VENDING MACHINES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TD1,HOW MUCH TIME BEING NERVOUS IN PAST 4 WEEKS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"ON APRIL 11, 2001, THE RESPONSE CATEGORY ""ALL OF THE TIME"" WAS ADDED",
TD2,HOW MUCH TIME FEELING DOWN IN PAST 4 WEEKS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"ON APRIL 11, 2001, THE RESPONSE CATEGORY ""ALL OF THE TIME"" WAS ADDED",
TD3,HOW MUCH TIME FEELING CALM AND PEACEFUL IN PAST 4 WEEKS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"ON APRIL 11, 2001, THE RESPONSE CATEGORY ""ALL OF THE TIME"" WAS ADDED",
TD4,HOW MUCH TIME FEELING DOWNHEARTED AND SAD IN PAST 4 WEEKS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"ON APRIL 11, 2001, THE RESPONSE CATEGORY ""ALL OF THE TIME"" WAS ADDED",
TD5,HOW MUCH TIME FEEL ARE A HAPPY PERSON,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"ON APRIL 11, 2001, THE RESPONSE CATEGORY ""ALL OF THE TIME"" WAS ADDED",
SECTION E,"CIGARETTE, ALCOHOL, & DRUG USE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMKCUR,CURRENT SMOKER,,,X,,X,X,,,,,,,,,,,,,,,,,,,,N/A,,
TC38,EVER SMOKED CIGARETTES,,SMKCUR,X,,X,X,,,,,,,,,,,,,,,,,,,,N/A,,
TE19,# OF DAYS SMOKED CIGARETTES IN PAST 30 DAYS,,SMKCUR,X,,X,X,,,,,,,,,,,,,,,,,,,,,,
TE20,# OF CIGARETTES SMOKED PER DAY IN PAST 30 DAYS,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,
TE22,EVER HAD MORE THAN FEW SIPS OF ALCOHOLIC DRINK,,BINGE_F; BINGE_M; BINGE_MF,X,,X,X,,,,,,,,,,,,,,,,,,,,,"STARTING IN 2017, CHIS OBTAINS ADULT PERMISSION TO ASK QUESTION ON ALCOHOL USE (ADULT PERMISSION NOT NEEDED IN PRIOR CHIS YEARS); STARTING IN 2017, CHIS OBTAINS ADULT
PERMISSION TO ASK QUESTION ON ALCOHOL
USE (ADULT PERMISSION NOT NEEDED IN PRIOR
CHIS YEARS); NEW TO 2017, CHIS OBTAINS ADULT

PERMISSION TO ASK QUESTION ON ALCOHOL

USE (ADULT PERMISSION NOT NEEDED IN PRIOR

CHIS YEARS); NEW TO 2017, CHIS OBTAINS ADULT PERMISSION TO ASK QUESTION ON ALCOHOL USE (ADULT PERMISSION NOT NEEDED IN PRIOR CHIS YEARS);",
TE24,"# OF DAYS IN PAST 30 DAYS HAD 5 OR MORE DRINKS IN A ROW, MALE",,BINGE_M; BINGE_MF,X,,X,X,,,,,,,,,,,,,,,,,,,,,"STARTING IN 2019, UNIVERSE DETERMINED BY SEX ASSIGNED AT BIRTH, NOT SELF-REPORTED GENDER AS IN PAST YEARS; STARTING IN 2017, CHIS OBTAINS ADULT PERMISSION TO ASK QUESTION ON ALCOHOL USE; STARTING IN 2019, UNIVERSE DETERMINED BY
SEX ASSIGNED AT BIRTH, NOT SELF-REPORTED
GENDER AS IN PAST YEARS; STARTING IN 2017,
CHIS OBTAINS ADULT PERMISSION TO ASK
QUESTION ON ALCOHOL USE; NEW TO 2017, CHIS OBTAINS ADULT

PERMISSION TO ASK QUESTION ON ALCOHOL

USE (ADULT PERMISSION NOT NEEDED IN PRIOR

CHIS YEARS); NEW TO 2017, CHIS OBTAINS ADULT PERMISSION TO ASK QUESTION ON ALCOHOL USE (ADULT PERMISSION NOT NEEDED IN PRIOR CHIS YEARS);",
TE24A,"# OF DAYS IN PAST 30 DAYS HAD 4 OR MORE DRINKS IN A ROW, FEMALE",,BINGE_F; BINGE_MF,X,,X,X,,,,,,,,,,,,,,,,,,,N/A,N/A,"STARTING IN 2019, UNIVERSE DETERMINED BY SEX ASSIGNED AT BIRTH, NOT SELF-REPORTED GENDER AS IN PAST YEARS; STARTING IN 2017, CHIS OBTAINS ADULT PERMISSION TO ASK QUESTION ON ALCOHOL USE; STARTING IN 2019, UNIVERSE DETERMINED BY
SEX ASSIGNED AT BIRTH, NOT SELF-REPORTED
GENDER AS IN PAST YEARS; STARTING IN 2017,
CHIS OBTAINS ADULT PERMISSION TO ASK
QUESTION ON ALCOHOL USE; NEW TO 2017, CHIS OBTAINS ADULT

PERMISSION TO ASK QUESTION ON ALCOHOL

USE (ADULT PERMISSION NOT NEEDED IN PRIOR

CHIS YEARS); NEW TO 2017, CHIS OBTAINS ADULT PERMISSION TO ASK QUESTION ON ALCOHOL USE (ADULT PERMISSION NOT NEEDED IN PRIOR CHIS YEARS);",
TE68_1,REASONS USE E-CIGS: QUIT SMOKING,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_2,REASONS USE E-CIGS: REPLACE SMOKING,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_3,REASONS USE E-CIGS: CUT DOWN OR REDUCE SMOKING,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_4,REASONS USE E-CIGS: USED WHERE SMOKING NOT ALLOWED,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_5,"REASONS USE E-CIGS: CURIOSITY, JUST TRY IT",,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_6,REASONS USE E CIGS: OTHER,,,,,,,,,,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_7,REASONS USE E-CIGS: AVOID LINGERING ODOR OF CIGARETTES,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_8,REASONS USE E-CIGS: HELP CONCENTRATE/STAY ALERT,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_9,REASONS USE E-CIGS: COME IN MANY FLAVORS,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_10,REASONS USE E-CIGS: LESS EXPENSIVE THAN CIGARETTES,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_11,REASONS USE E-CIGS: HEALTHIER THAN CIGARETTES,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_12,REASONS USE E-CIGS: ENJOYMENT OR SOCIAL REASONS,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_13,"REASONS USE E-CIGS: REDUCE STRESS, ANXIETY OR PAIN",,,X,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE69,EVER TRIED MARIJUANA OR HASHISH,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE70,"# OF DAYS IN PAST 30 DAYS USED MARIJUANA, HASHISH, OR ANOTHER THC PRODUCT",,,x,,x,x,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE71,HOW OFTEN USED TOBACCO WHEN USING MARIJUANA,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE72,"SMOKE MARIJUANA IN JOINT, BONG, OR PIPE IN PAST 30 DAYS",,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE73,EAT MARIJUANA IN PAST 30 DAYS,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE74,DRINK MARIJUANA IN PAST 30 DAYS,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE75,VAPORIZE MARIJUANA IN PAST 30 DAYS,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE76,DAB MARIJUANA IN PAST 30 DAYS,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
MAR_SMK,METHOD OF MARIJUANA USE IN PAST 30 DAYS - JOINT/BONG/PIPE (UPCODED),,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"RESPONDENTS WHO ANSWERED JOINT/BONG/PIPE IN TE77 HAVE THEIR RESPONSES REFLECTED IN THIS VARIABLE. CONSTRUCTED TO MATCH ADULT VERSION, MAR_SMKV2.",
MARTYPE,METHOD OF TAKING MARIJUANA,,,,N/A,N/A,N/A,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Constructed to match adult version, MARTYPEV2; Constructed to match adult version, MARTYPE",
MAR_EAT,METHOD OF MARIJUANA USE IN PAST 30 DAYS - EAT (UPCODED),,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"RESPONDENTS WHO ANSWERED EAT IN TE77 HAVE THEIR RESPONSES REFLECTED IN THIS VARIABLE. CONSTRUCTED TO MATCH ADULT VERSION, MAR_EATV2.",
MAR_DRINK,METHOD OF MARIJUANA USE IN PAST 30 DAYS - DRINK (UPCODED),,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"RESPONDENTS WHO ANSWERED DRINK IN TE77 HAVE THEIR RESPONSES REFLECTED IN THIS VARIABLE. CONSTRUCTED TO MATCH ADULT VERSION, MAR_DRINKV2.",
MAR_VAP,METHOD OF MARIJUANA USE IN PAST 30 DAYS - VAPORIZE (UPCODED),,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"RESPONDENTS WHO ANSWERED VAPE IN TE77 HAVE THEIR RESPONSES REFLECTED IN THIS VARIABLE. CONSTRUCTED TO MATCH ADULT VERSION, MAR_VAPV2.; RESPONDENTS WHO ANSWERED VAPORIZE IN TE77 HAVE THEIR RESPONSES REFLECTED IN THIS VARIABLE. CONSTRUCTED TO MATCH ADULT VERSION, MAR_VAPV2.",
MAR_BLUNT,METHOD OF MARIJUANA USE IN PAST 30 DAYS - BLUNT (UPCODED),,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"RESPONDENTS WHO ANSWERED BLUNT IN TE77 HAVE THEIR RESPONSES REFLECTED IN THIS VARIABLE. CONSTRUCTED TO MATCH ADULT VERSION, MAR_BLUNTV2.",
MAR_DAB,METHOD OF MARIJUANA USE IN PAST 30 DAYS - DAB (UPCODED),,,,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"RESPONDENTS WHO ANSWERED DAB IN TE77 HAVE THEIR RESPONSES REFLECTED IN THIS VARIABLE. CONSTRUCTED TO MATCH ADULT VERSION, MAR_DABV2.",
TE84,EVER USED HEROIN IN PAST 12 MONTHS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE85,EVER MISUSED PRESCRIPTION PAINKILLER IN PAST 12 MONTHS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE86,RECEIVED PRESCRIPTION FROM ONE DOCTOR OR MORE THAN ONE DOCTOR,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_1,CONDITION TAKING PAINKILLER FOR: DENTAL WORK/DENTAL PAIN,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_2,CONDITION TAKING PAINKILLER FOR: SURGERY PAIN,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_3,CONDITION TAKING PAINKILLER FOR: ACCIDENT/INJURY PAIN,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_4,CONDITION TAKING PAINKILLER FOR: CHRONIC PAIN,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_5,CONDITION TAKING PAINKILLER FOR: RECREATIONAL USE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_6,CONDITION TAKING PAINKILLER FOR: DEPRESSION/ANXIETY/STRESS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_7,CONDITION TAKING PAINKILLER FOR: TREAT SUBSTANCE USE DISORDER,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_8,CONDITION TAKING PAINKILLER FOR: PAINKILLER ADDICTION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE87_91,CONDITION TAKING PAINKILLER FOR: OTHER,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE88,EVER USED METHAMPHETAMINES IN PAST 12 MONTHS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE78,SMOKE CIGAR WITH MARIJUANA/BLUNT IN PAST 30 DAYS,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE79,EVER USED E-CIGARETTES (INCL. JUUL),,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE80,# OF DAYS USED E-CIGARETTES IN PAST 30 DAYS,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE81,AGE WHEN FIRST TRIED CIGARETTES,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE82,AGE WHEN FIRST TRIED E-CIGARETTES,TE82_P1,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE83,WHICH TYPE OF CIGARETTE TRIED FIRST,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
ESMKCUR,CURRENT E-CIGARETTE SMOKER,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE77,USE MARIJUANA IN SOME OTHER WAY IN PAST 30 DAYS,,,,N/A,N/A,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE66,EVER SMOKED ELECTRONIC CIGARETTES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE67,DAYS USED E-CIGS PAST 30 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_A,REASONS USE E-CIGARETTES - 1ST MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_B,REASONS USE E-CIGARETTES - 2ND MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_C,REASONS USE E-CIGARETTES - 3RD MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_D,REASONS USE E-CIGARETTES - 4TH MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_E,REASONS USE E-CIGARETTES - 5TH MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TE68_F,REASONS USE E-CIGARETTES - 6TH MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
HHSMK,HOUSEHOLD SMOKING,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,,
TE23,# OF DAYS IN PAST 30 DAYS HAD AT LEAST 1 ALCOHOLIC DRINK,,BINGE_F; BINGE_M; BINGE_MF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
TE25,# OF DRINKS USUALLY HAVE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
BINGE_F,FEMALE BINGE DRINKING - 4+ DRINKS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,,
